field,count,year
SOCIAL SCIENCES OTHER TOPICS,9,2008
SOCIOLOGY,9,2008
BEHAVIORAL SCIENCES,8,2008
BUSINESS ECONOMICS,8,2008
PSYCHOLOGY,7,2008
COMPUTER SCIENCE,6,2008
COMMUNICATION,4,2008
SOCIAL ISSUES,3,2008
DEMOGRAPHY,2,2008
EDUCATION EDUCATIONAL RESEARCH,2,2008
FAMILY STUDIES,2,2008
HEALTH CARE SCIENCES SERVICES,2,2008
MATHEMATICAL COMPUTATIONAL BIOLOGY,2,2008
MATHEMATICS,2,2008
OPERATIONS RESEARCH MANAGEMENT SCIENCE,2,2008
PEDIATRICS,2,2008
ANTHROPOLOGY,1,2008
ARTS HUMANITIES OTHER TOPICS,1,2008
CHEMISTRY,1,2008
ENGINEERING,1,2008
INFORMATION SCIENCE LIBRARY SCIENCE,1,2008
MATHEMATICAL METHODS IN SOCIAL SCIENCES,1,2008
MECHANICS,1,2008
PHYSICS,1,2008
RELIGION,1,2008
SCIENCE TECHNOLOGY OTHER TOPICS,1,2008
SOCIAL WORK,1,2008
SUBSTANCE ABUSE,1,2008
TOXICOLOGY,1,2008
SOCIOLOGY,16,2009
SOCIAL SCIENCES OTHER TOPICS,14,2009
COMPUTER SCIENCE,12,2009
BEHAVIORAL SCIENCES,11,2009
PSYCHOLOGY,9,2009
BUSINESS ECONOMICS,8,2009
MATHEMATICAL COMPUTATIONAL BIOLOGY,8,2009
SCIENCE TECHNOLOGY OTHER TOPICS,8,2009
MATHEMATICS,7,2009
COMMUNICATION,5,2009
SOCIAL ISSUES,5,2009
TELECOMMUNICATIONS,5,2009
ANTHROPOLOGY,4,2009
INFORMATION SCIENCE LIBRARY SCIENCE,3,2009
PEDIATRICS,3,2009
ARTS HUMANITIES OTHER TOPICS,2,2009
ENGINEERING,2,2009
ENVIRONMENTAL SCIENCES ECOLOGY,2,2009
GOVERNMENT LAW,2,2009
PSYCHIATRY,2,2009
CHEMISTRY,1,2009
CULTURAL STUDIES,1,2009
EDUCATION EDUCATIONAL RESEARCH,1,2009
FAMILY STUDIES,1,2009
FILM RADIO TELEVISION,1,2009
GENERAL INTERNAL MEDICINE,1,2009
GENETICS HEREDITY,1,2009
GEOGRAPHY,1,2009
GERIATRICS GERONTOLOGY,1,2009
HEALTH CARE SCIENCES SERVICES,1,2009
INFECTIOUS DISEASES,1,2009
MATHEMATICAL METHODS IN SOCIAL SCIENCES,1,2009
PHARMACOLOGY PHARMACY,1,2009
PHYSICS,1,2009
PUBLIC ADMINISTRATION,1,2009
PUBLIC ENVIRONMENTAL OCCUPATIONAL HEALTH,1,2009
RELIGION,1,2009
REPRODUCTIVE BIOLOGY,1,2009
SPORT SCIENCES,1,2009
SUBSTANCE ABUSE,1,2009
TOXICOLOGY,1,2009
URBAN STUDIES,1,2009
ZOOLOGY,1,2009
BEHAVIORAL SCIENCES,18,2010
COMPUTER SCIENCE,18,2010
PSYCHOLOGY,17,2010
SOCIOLOGY,16,2010
SOCIAL SCIENCES OTHER TOPICS,12,2010
SOCIAL ISSUES,10,2010
BUSINESS ECONOMICS,9,2010
MATHEMATICS,7,2010
ANTHROPOLOGY,6,2010
HEALTH CARE SCIENCES SERVICES,6,2010
MATHEMATICAL COMPUTATIONAL BIOLOGY,6,2010
ENGINEERING,5,2010
INFORMATION SCIENCE LIBRARY SCIENCE,5,2010
PEDIATRICS,5,2010
COMMUNICATION,4,2010
EDUCATION EDUCATIONAL RESEARCH,4,2010
GOVERNMENT LAW,4,2010
TELECOMMUNICATIONS,4,2010
DEMOGRAPHY,3,2010
PUBLIC ENVIRONMENTAL OCCUPATIONAL HEALTH,3,2010
BIOMEDICAL SOCIAL SCIENCES,2,2010
ENVIRONMENTAL SCIENCES ECOLOGY,2,2010
FAMILY STUDIES,2,2010
GENERAL INTERNAL MEDICINE,2,2010
OPERATIONS RESEARCH MANAGEMENT SCIENCE,2,2010
SCIENCE TECHNOLOGY OTHER TOPICS,2,2010
AGRICULTURE,1,2010
BIODIVERSITY CONSERVATION,1,2010
BIOTECHNOLOGY APPLIED MICROBIOLOGY,1,2010
CHEMISTRY,1,2010
CULTURAL STUDIES,1,2010
ENDOCRINOLOGY METABOLISM,1,2010
ETHNIC STUDIES,1,2010
EVOLUTIONARY BIOLOGY,1,2010
FISHERIES,1,2010
FORESTRY,1,2010
GEOGRAPHY,1,2010
GERIATRICS GERONTOLOGY,1,2010
IMMUNOLOGY,1,2010
INFECTIOUS DISEASES,1,2010
INTERNATIONAL RELATIONS,1,2010
LEGAL MEDICINE,1,2010
LIFE SCIENCES BIOMEDICINE OTHER TOPICS,1,2010
MARINE FRESHWATER BIOLOGY,1,2010
MATERIALS SCIENCE,1,2010
NUTRITION DIETETICS,1,2010
PHARMACOLOGY PHARMACY,1,2010
PHYSICS,1,2010
PSYCHIATRY,1,2010
PUBLIC ADMINISTRATION,1,2010
